product_name,price_raw,price,rating,source,category,scraped_at,brand,rating_filled,has_rating,is_tshirt,is_mens,is_womens,is_printed,is_plain,name_length,word_count,has_premium_keyword,has_cotton,has_fit_type,category_encoded,brand_encoded,brand_frequency
Fabricorn,975,975.0,4.1,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,Fabricorn,4.1,1,1,1,1,0,0,9,1,0,0,0,1,4,6
JUNEBERRY,379,379.0,3.9,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,JUNEBERRY,3.9,1,1,1,1,0,0,9,1,0,0,0,1,8,3
FLEXIMAA,599,599.0,3.7,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,FLEXIMAA,3.7,1,1,1,1,0,0,8,1,0,0,0,1,3,2
Amazon Brand - Symbol,429,429.0,4.0,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,Amazon,4.0,1,1,1,1,0,0,21,4,0,0,0,1,1,2
Amazon Brand - Symbol,429,429.0,4.0,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,Amazon,4.0,1,1,1,1,0,0,21,4,0,0,0,1,1,2
JUNEBERRY,379,379.0,3.9,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,JUNEBERRY,3.9,1,1,1,1,0,0,9,1,0,0,0,1,8,3
Max,199,199.0,4.1,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,Max,4.1,1,1,1,1,0,0,3,1,0,0,0,1,12,2
Fabricorn,361,361.0,4.0,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,Fabricorn,4.0,1,1,1,1,0,0,9,1,0,0,0,1,4,6
Max,199,199.0,4.1,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,Max,4.1,1,1,1,1,0,0,3,1,0,0,0,1,12,2
FLEXIMAA,299,299.0,4.0,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,FLEXIMAA,4.0,1,1,1,1,0,0,8,1,0,0,0,1,3,2
Jockey,545,545.0,4.2,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,Jockey,4.2,1,1,1,1,0,0,6,1,0,0,0,1,9,3
AUSK,247,247.0,3.8,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,AUSK,3.8,1,1,1,1,0,0,4,1,0,0,0,1,0,1
Fabricorn,425,425.0,3.7,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,Fabricorn,3.7,1,1,1,1,0,0,9,1,0,0,0,1,4,6
UZARUS,534,534.0,3.3,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,UZARUS,3.3,1,1,1,1,0,0,6,1,0,0,0,1,17,2
UZARUS,427,427.0,3.9,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,UZARUS,3.9,1,1,1,1,0,0,6,1,0,0,0,1,17,2
JUNEBERRY,379,379.0,3.9,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,JUNEBERRY,3.9,1,1,1,1,0,0,9,1,0,0,0,1,8,3
TADKEE,499,499.0,3.3,Amazon India,womens v neck tshirt,2026-07-07 21:55:48,TADKEE,3.3,1,1,1,1,0,0,6,1,0,0,0,1,15,1
