product_name,price_raw,price,rating,source,category,scraped_at
U.S. Polo Assn.,799,799.0,3.6,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
JVX,429,429.0,3.8,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
KAJARU,345,345.0,4.1,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
London Hills,290,290.0,3.6,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
LAZYCHUNKS,479,479.0,4.1,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
RodZen,999,999.0,4.0,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Mack Jonney,279,279.0,3.2,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Urbano Fashion,341,341.0,3.8,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
LEOTUDE,298,298.0,3.6,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
AUSK,319,319.0,3.3,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
JUGULAR,284,284.0,3.6,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
AUSK,258,258.0,3.4,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Jump Cuts,378,378.0,3.6,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Noble Monk,409,409.0,3.7,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Mack Jonney,279,279.0,3.2,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
AUSK,298,298.0,3.8,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
London Hills,479,479.0,3.8,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
INKKR,299,299.0,3.5,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Van Heusen,759,759.0,4.0,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
LEOTUDE,339,339.0,4.0,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
London Hills,290,290.0,3.6,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
LEOTUDE,349,349.0,3.6,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
KAJARU,329,329.0,4.2,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Van Heusen,711,711.0,4.0,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Belpatra,493,493.0,3.8,Amazon India,mens full sleeve tshirt,2026-04-17 21:11:49
Peter England,629.,629.0,4.0,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Peter England,839,839.0,4.0,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Allen Solly,629.,629.0,4.1,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Peter England,699,699.0,4.0,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Levi's,499,499.0,4.1,Amazon India,mens premium tshirt,2026-04-17 21:12:27
XYXX,599,599.0,3.7,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Van Heusen,648,648.0,4.0,Amazon India,mens premium tshirt,2026-04-17 21:12:27
LEOTUDE,298,298.0,4.0,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Mack Jonney,319,319.0,3.5,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Allen Solly,839,839.0,4.1,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Symbol Premium,609,609.0,4.2,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Symbol Premium,749,749.0,4.0,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Symbol Premium,619,619.0,3.9,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Peter England,755.,755.0,4.1,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Alan Jones Clothing,389,389.0,4.2,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Van Heusen,476,476.0,4.2,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Peter England,649,649.0,4.0,Amazon India,mens premium tshirt,2026-04-17 21:12:27
Alan Jones Clothing,389,389.0,4.2,Amazon India,mens premium tshirt,2026-04-17 21:12:27
BULLMER,299,299.0,3.7,Amazon India,mens premium tshirt,2026-04-17 21:12:27
